"stud_id","stud_no","firstname","lastname","gender","department","course","major","year","status","cabinet","password"
"25","1100","Cardo","Dalisay","Male","CAS","BSINFOTECH",,"3B","Active","3","1e6e0a04d20f50967c64dac2d639a577"
"26","1101","Carla","Abellana","Female","CBA","BSBA","Marketing-Management","1A","Active","1","b8c37e33defde51cf91e1e03e51657da"
"27","1102","Juan ","Dela Cruz","Male","CEd","BSE","Mathematics","4C","Active","4","c667d53acd899a97a85de0c201ba99be"
"28","1103","Jane","Santos","Female","CBA","BSBA","Marketing-Management","2B","Active","2","aace49c7d80767cffec0e513ae886df0"
"29","1104","Drake","Cruz","Male","CEd","BSE","Science","3C","Active","3","4da04049a062f5adfe81b67dd755cecc"
"30","1105","Juan","Dela Cruz","Male","CAS","BSINFOTECH",,"1A","Active","1","af21d0c97db2e27e13572cbf59eb343d"
"31","1106","Anne","Crame","Female","CEd","BSNEd",,"2C","Active","2","c9f95a0a5af052bffce5c89917335f67"
"32","1107","Christine","Pangilinan","Female","CEd","BTLE","Home-Economics","3A","Active","3","e58cc5ca94270acaceed13bc82dfedf7"
"33","1108","Benedict","Corpuz","Male","CEd","BSNEd","Industrial-Arts","1B","Active","1","b9d487a30398d42ecff55c228ed5652b"
"34","1109","Liam","Uy","Male","CAFA","BFA","Visual-Communication","3C","Active","2","8f1d43620bc6bb580df6e80b0dc05c48"
"35","1110","Joaquin","Lopez","Male","CEd","BSE","Mathematics","3A","Active","3","2cbca44843a864533ec05b321ae1f9d1"
"36","1111","Nica","Menor","Female","CHM","BSHM",,"1A","Inactive","1","b59c67bf196a4758191e42f76670ceba"
"37","1112","Patrick","Depaz","Male","CIT","BSIT","Electrical-Technology","2B","Inactive","2","20d135f0f28185b84a4cf7aa51f29500"
"38","1113","Cecilia","Rosales","Female","CIT","BSIT","Automotive-Technology","3C","Inactive","3","73278a4a86960eeb576a8fd4c9ec6997"
"39","1114","Hanna","Bueno","Female","CIT","BSIT","Drafting-Technology","4A","Inactive","4","d6ef5f7fa914c19931a55bb262ec879c"
"40","1115","Angela","Pangan","Female","CIT","BST","Food-Technology","1B","Inactive","1","e19347e1c3ca0c0b97de5fb3b690855a"
"41","1116","Alex","Monde","Female","CAS","BSINFOTECH",,"4A","Graduate","4","dd77279f7d325eec933f05b1672f6a1f"
"42","1117","Janwen","Que","Male","CIT","BSIT","Fashion-and-Apparel-Technology","2C","Inactive","2","0eec27c419d0fe24e53c90338cdc8bc6"
"43","1118","Oliver","De leon","Male","CAS","BSINFOTECH",,"4A","Graduate","4","c60d060b946d6dd6145dcbad5c4ccf6f"
"44","1119","Erika","Gome","Female","CEd","BSE","Mathematics","4C","Graduate","4","8597a6cfa74defcbde3047c891d78f90"
"45","1120","Russ","Chavez, ","Male","CAS","BSINFOTECH",,"1A","Active","1","c6036a69be21cb660499b75718a3ef24"
